Atliktu zingsniu skaicius: 8
Atliktu funkcijos skaiciavimu skaicius: 16
Bandymo taskai:
step        x               f(x):
0.      5.000000000        323.000000000
1.      4.102777778        95.683670568
2.      3.509820674        27.290071331
3.      3.144358250        7.334704359
4.      2.942360980        1.747266915
5.      2.852792979        0.296017807
6.      2.830006243        0.017950516
7.      2.828434556        0.000084075
8.      2.828427125        0.000000002
