Atliktu zingsniu skaicius: 24
Atliktu funkcijos skaiciavimu skaicius: 48
Bandymo taskai:
step        x               f(x):
1.      2.360679775        1.036874150
2.      1.458980338        22.730307785
3.      2.917960675        1.293693593
4.      2.016261238        7.612409047
5.      2.573542138        -0.857960813
6.      2.705098312        -0.899157628
7.      2.786404500        -0.416227540
8.      2.654848325        -0.997674867
9.      2.623792125        -0.986610065
10.      2.674042112        -0.977349383
11.      2.642985912        -0.999786096
12.      2.635654538        -0.997156428
13.      2.647516951        -0.999912652
14.      2.650317287        -0.999415244
15.      2.645786248        -0.999999966
16.      2.644716615        -0.999970035
17.      2.646447318        -0.999986433
18.      2.645377685        -0.999996092
19.      2.646038754        -0.999997686
20.      2.645630191        -0.999999589
21.      2.645882697        -0.999999517
22.      2.645726639        -0.999999983
23.      2.645689799        -0.999999894
24.      2.645749408        -1.000000000
